category,Place,Description
,,
Nature & Parks,"
Western Ghats
","The Western Ghats offer great views from various peaks, forts and include rolling hills, mesmerizing  lakes, curvy roads and ofcourse variety of  flora and fauna."
,,
Nature & Parks,"
Malshej Ghat
"," or Junnar route: a) From the bridge on Pimpalgaon Joga dam water to MTDC resort gate on Malshej ghat– 8 km b) Saj By Lake resort to MTDC resort gate on Malshej Ghat...  are beautiful, nature is amazing that created Malshej Ghats"
,,
Nature & Parks,"
Pune Okayama Friendship Garden
"," canal layout e) Pleasing small water fall f) Amazing views from many places g) The ultimate view from the topmost plateau in the garden If you are a family, indivi...  maintained water bodies; small stream and This garden offers good scenic view of the greatly"
,,
Nature & Parks,"
Mulshi Dam
",Just post the monsoons or when they are wanting enjoy the green landscapes  mirroring in the backwaters .Enjoy the  serenity and low clouds hanging across the mountains.Simpky mind blowing.Lots of places to spend th...
,,
Nature & Parks,"
Lonavala Lake
",If you plan to do bird photography near Lonavala this is the place where you should be in January/February as the lake drains out and you can literally walk through  photographing birds at various spots where  water...
,,
Nature & Parks,"
Gram Sanskruti Udyan Village Park
","Beautifully carved statues showing the culture and heritage of Marathi culture with village zone, jungle zone, Patil zone, cultural zone!! Salute  few other profession people are note worthy, Mock market and Replica of house of head of village [Patil] are impressive, Its good for children to give an idea of Ru..."
,,
Nature & Parks,"
Khadakwasla Dam
","The dam has been built on the Mutha River, which begins from the confluence of the rivers Ambi and Mose on which the Panshet and Varasgaon Dams are built respectively  having some food stalls around, time to sit Had always been going to Khadakwasla since it offers a leisurely time with family"
,,
Nature & Parks,"
Osho Teerth Park
","Located in upmarket residential  area of Koregaon Park where one can find some  of the most beautiful bungalows built by the who's who of India like the Bajaj , Pallonji Mistry and Poonawalla families this place is..."
,,
Nature & Parks,"
Devkund Waterfall
","Special thanks to our guide Ganesh Chavan, who guided us very well  through the dense forest and also arranged  Changing room and lunch for us at his house."
,,
Nature & Parks,"
Taljai Hill
"," lucky you can see variety of birds, specially peacock in the forest.  with rustic mud trail .. easy to get lost .. Such a lovely place"
,,
Nature & Parks,"
Bhimashankar Wildlife Sanctuary
","my visit is during November end this sanctuary is lush green at that time from every side if you are photography  ,nature ,wildlife lover or etc this place is  for you rainy season or after that is best time to visi..."
,,
Nature & Parks,"
Rajiv Gandhi Zoological Park
",I am an animal lover so tried visiting this zoo..Its an awesome and must visit place.It has lots of varities of animals scattered  in a very large area.Also the zoo have  electric cars for the zoo visit for senior c...
,,
Nature & Parks,"
Kasarsai Dam
","It is the spot which one of the beautiful place near 'Hinjawadi IT Hub' (approx 10 Kms)  to Hinjewadi IT park, this unique escape to Very close to Pune and super close"
,,
Nature & Parks,"
Koregaon Park
"," neighborhood this place is very very clean, government is taking good care of Koregaon park, as well as the citizens of Koregaon Park take care of it's beauty.  KP for some official trip, our guest house was surrounded by all pubs and disc."
,,
Nature & Parks,"
Kamla Nehru Park
", playarea.
,,
Nature & Parks,"
Durga Tekdi
", Appu Ghar - requires you to climb up the Hill to reach the Durga Tekdi top but its worth it. Almost 2-3 km walking trek is available
,,
Nature & Parks,"
Madhe Ghat
","It is best to visit only during monsoon as during summer and winter it is just a deserted place and plain land on the  from Madhe Ghat Waterfall then you have to walk.You will get here some food stalls, corns & Jackfruit etc. at parking."
,,
Nature & Parks,"
Pashan Lake
","The Pashan Sutarwadi lake area  is very good for nature, so people from far  away come to enjoy the nature of birds watching and nature."
,,
Nature & Parks,"
Dive Ghat Valley
"," morning ride there, we enjoyed our trip a lot, be careful while riding."
,,
Nature & Parks,"
Khandi Waterfalls
",One can see number of  falls Enroute and park and Enjoy some water  spots on the way to chill-up.
,,
Nature & Parks,"
Pavna River
",The people working in pune visit here regularly to
,,
Nature & Parks,"
Seven Wonders Dream Park
",Visited there with family and friends.. although  its a small park but anyone can enjoy here  with family specially kids love to watch Wonders of the World in Pune.
,,
Nature & Parks,"
Peshwe Udyan Zoo
"," a variety of Renewable Energy Sources such as Solar, Wind etc.  cant let your kid do that alone."
,,
Nature & Parks,"
Bhatghar Dam
", breathtaking views from MPN HOLIDAY CLUB location make every moment memorable.
,,
Nature & Parks,"
Kranti Flamingo Point
",Went for two boat rides and spotted many different  varieties of migratory birds who flock here  in huge numbers.
,,
Shopping,"
Phoenix Market City
", watching experience and overall located at a good proximate location.  mall with international brands - modern Fantastic luxurious
,,
Shopping,"
Amanora Mall
","Great location with huge variety  of restaurants , shopping , movies , food ,  pubs , coffee houses etc. Very well decorated and maintained especially at time of Diwali and New year"
,,
Shopping,"
Seasons Mall
"," major global brands, parlours, restaurants, cafes and coffee shops, hypermarkets for daily necessities, gaming zones, and a multiplex where you can watch the latest mov... Located at Magarpatta city, Seasons Mall is a unique destination, with stores and services combining to form the most comprehensive and integrated"
,,
Shopping,"
Tulsi Baug Shopping Market
",... old age ladies along with few men find peace here everyday Temple itself is surrounded  by excellent shops that run for centuries to  the entry from Mandai side as well as to the exist we have bit less that 350 ...
,,
Shopping,"
The Pavillion
","It's a perfect size, rectangular, with a variety of stores  and a large food court on the lower ground  floor with ample seating."
,,
Shopping,"
Sgs Mall
","One of the spacious mall in  Pune, Only branded shops are available, Very  vibrant , Planned nicely, Heart of the city"
,,
Shopping,"
Inorbit
","I had excellent experience always,  how ever this mall as been overtaken by IT  giant and no more a mall, just PVR cinemas is operable till date (Sep 2017) amy get closed later."
,,
Shopping,"
Raw Adventure Solutions
",Absolutely amazing management  and pleasant camping experience!! Very  professional and care taking team.
,,
Shopping,"
Phule Market
","Its a local and famous open street market, you can get varieties of stalls, vegetables,"
,,
Shopping,"
Studio Coppre
", the staff is really friendly :) I recommend it to everyone. The staff is groomed well and are able to suggest great
,,
